Zone,Current Availability,Day of Week,time,month,Family Weekend,Home Football Game,Labor Day
6,55,0,42,9,0,0,1
30,2,0,42,9,0,0,1
32,4,0,42,9,0,0,1
34,2,0,42,9,0,0,1
36,3,0,42,9,0,0,1
28,4,0,42,9,0,0,1
39,4,0,42,9,0,0,1
29,31,0,42,9,0,0,1
31,8,0,42,9,0,0,1
33,13,0,42,9,0,0,1
35,12,0,42,9,0,0,1
37,14,0,42,9,0,0,1
38,17,0,42,9,0,0,1
22,1460,0,43,9,0,0,1
13,445,0,43,9,0,0,1
19,628,0,43,9,0,0,1
4,396,0,43,9,0,0,1
27,86,0,43,9,0,0,1
40,13,0,43,9,0,0,1
12,559,0,43,9,0,0,1
6,55,0,43,9,0,0,1
30,2,0,43,9,0,0,1
32,4,0,43,9,0,0,1
34,2,0,43,9,0,0,1
36,3,0,43,9,0,0,1
28,4,0,43,9,0,0,1
39,4,0,43,9,0,0,1
29,31,0,43,9,0,0,1
31,8,0,43,9,0,0,1
33,13,0,43,9,0,0,1
35,12,0,43,9,0,0,1
37,14,0,43,9,0,0,1
